                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.98054,                0.97487,                 1.5756,                0.23234,                0.51171,                0.27272,                0.05176,                 2.6271,                 3.3212,                  2.774,              0.0014855,              0.0014855,              0.0014855
                     36,                0.91756,                0.94225,                 1.4079,                0.23234,                0.51171,                0.27272,                0.05176,                 2.6271,                 3.3212,                  2.774,                0.00148,                0.00148,                0.00148
                     37,                0.91187,                0.89634,                 1.4277,                0.75411,                0.87733,                0.75215,                0.49918,                 1.0743,                 2.8451,                 1.9855,              0.0014745,              0.0014745,              0.0014745
                     38,                0.89601,                 1.0056,                 1.4882,                0.75411,                0.87733,                0.75215,                0.49918,                 1.0743,                 2.8451,                 1.9855,               0.001469,               0.001469,               0.001469
                     39,                0.90358,                0.95547,                 1.4505,                0.44631,                0.26667,                0.36853,                0.30673,                 1.2106,                  3.164,                 2.0342,              0.0014635,              0.0014635,              0.0014635
                     40,                  1.033,                 1.0575,                 1.5225,                0.44631,                0.26667,                0.36853,                0.30673,                 1.2106,                  3.164,                 2.0342,               0.001458,               0.001458,               0.001458
                     41,                 1.0213,                0.97581,                 1.5153,                0.36221,                0.33506,                0.43219,                0.36715,                  1.184,                 4.3004,                 1.9404,              0.0014525,              0.0014525,              0.0014525
                     42,                0.85172,                0.81659,                 1.4504,                0.36221,                0.33506,                0.43219,                0.36715,                  1.184,                 4.3004,                 1.9404,               0.001447,               0.001447,               0.001447
                     43,                0.83344,                0.81405,                 1.5094,                0.46455,                0.94846,                0.55271,                0.33717,                 1.6437,                 1.9905,                 2.5253,              0.0014415,              0.0014415,              0.0014415
                     44,                0.95568,                0.85159,                 1.5648,                0.46455,                0.94846,                0.55271,                0.33717,                 1.6437,                 1.9905,                 2.5253,               0.001436,               0.001436,               0.001436
                     45,                 1.1517,                 1.0327,                 1.7233,                 0.2454,                0.89655,                0.49458,                0.28823,                 1.1235,                 2.7148,                 1.7045,              0.0014305,              0.0014305,              0.0014305
                     46,                0.80992,                0.73701,                 1.3378,                 0.2454,                0.89655,                0.49458,                0.28823,                 1.1235,                 2.7148,                 1.7045,               0.001425,               0.001425,               0.001425
                     47,                0.88311,                0.81033,                 1.4276,                0.93763,                0.98061,                0.98852,                0.83807,                0.71869,                 2.0138,                 1.4934,              0.0014195,              0.0014195,              0.0014195
                     48,                0.93302,                0.91257,                 1.4212,                0.93763,                0.98061,                0.98852,                0.83807,                0.71869,                 2.0138,                 1.4934,              0.0014139,              0.0014139,              0.0014139
                     49,                0.93035,                0.81433,                 1.3904,                0.97177,                0.99067,                0.98983,                0.74494,                0.76219,                 2.2383,                 1.6279,              0.0014084,              0.0014084,              0.0014084
                     50,                 1.1001,                0.96476,                 1.5828,                0.97177,                0.99067,                0.98983,                0.74494,                0.76219,                 2.2383,                 1.6279,              0.0014029,              0.0014029,              0.0014029
                     51,                0.81046,                0.73342,                  1.352,                0.99092,                0.94801,                0.98786,                0.70933,                0.91521,                 1.4683,                 1.6704,              0.0013974,              0.0013974,              0.0013974
                     52,                  1.098,                0.96911,                 1.6103,                0.99092,                0.94801,                0.98786,                0.70933,                0.91521,                 1.4683,                 1.6704,              0.0013919,              0.0013919,              0.0013919
